time	V(n003)
7.182623152795466e-03	9.983062e-01
7.202154402795466e-03	9.983082e-01
7.221685652795466e-03	9.983061e-01
7.241216902795465e-03	9.983002e-01
7.260748152795465e-03	9.982907e-01
7.280279402795464e-03	9.982778e-01
7.299810652795464e-03	9.982620e-01
7.319341902795463e-03	9.982435e-01
7.338873152795463e-03	9.982227e-01
7.358404402795463e-03	9.982000e-01
7.387701277795462e-03	9.981631e-01
7.416998152795461e-03	9.981240e-01
7.446295027795461e-03	9.980840e-01
7.457455742081175e-03	9.980686e-01
7.468616456366889e-03	9.980535e-01
7.479777170652603e-03	9.980387e-01
7.490937884938317e-03	9.980240e-01
7.502098599224031e-03	9.980097e-01
7.513259313509745e-03	9.979956e-01
7.524420027795459e-03	9.979818e-01
7.543951277795459e-03	9.979589e-01
7.553716902795458e-03	9.979481e-01
7.563482527795458e-03	9.979376e-01
7.573248152795458e-03	9.979276e-01
7.583013777795458e-03	9.979181e-01
7.592779402795458e-03	9.979091e-01
7.602545027795457e-03	9.979005e-01
7.612310652795457e-03	9.978926e-01
7.622076277795457e-03	9.978852e-01
7.631841902795457e-03	9.978783e-01
7.641607527795457e-03	9.978720e-01
7.651373152795456e-03	9.978663e-01
7.661138777795456e-03	9.978611e-01
7.680670027795456e-03	9.978526e-01
7.700201277795455e-03	9.978464e-01
7.719732527795455e-03	9.978424e-01
7.739263777795454e-03	9.978408e-01
7.758795027795454e-03	9.978414e-01
7.778326277795454e-03	9.978440e-01
7.797857527795453e-03	9.978487e-01
7.817388777795453e-03	9.978551e-01
7.836920027795452e-03	9.978632e-01
7.856451277795452e-03	9.978728e-01
7.875982527795452e-03	9.978836e-01
7.895513777795451e-03	9.978955e-01
7.915045027795451e-03	9.979084e-01
7.944341902795450e-03	9.979287e-01
7.973638777795449e-03	9.979500e-01
8.002935652795449e-03	9.979715e-01
8.071295027795447e-03	9.980187e-01
8.090826277795447e-03	9.980307e-01
8.100591902795447e-03	9.980364e-01
8.110357527795447e-03	9.980419e-01
8.120123152795446e-03	9.980471e-01
8.129888777795446e-03	9.980521e-01
8.139654402795446e-03	9.980568e-01
8.149420027795446e-03	9.980612e-01
8.159185652795446e-03	9.980654e-01
8.168951277795445e-03	9.980692e-01
8.178716902795445e-03	9.980727e-01
8.188482527795445e-03	9.980760e-01
8.198248152795445e-03	9.980789e-01
8.217779402795444e-03	9.980838e-01
8.237310652795444e-03	9.980875e-01
8.256841902795443e-03	9.980898e-01
8.276373152795443e-03	9.980910e-01
8.295904402795443e-03	9.980910e-01
8.315435652795442e-03	9.980899e-01
8.334966902795442e-03	9.980877e-01
8.354498152795441e-03	9.980845e-01
8.374029402795441e-03	9.980804e-01
8.393560652795441e-03	9.980755e-01
8.413091902795440e-03	9.980699e-01
8.432623152795440e-03	9.980636e-01
8.452154402795439e-03	9.980569e-01
8.481451277795439e-03	9.980461e-01
8.510748152795438e-03	9.980348e-01
8.540045027795437e-03	9.980233e-01
8.618170027795436e-03	9.979945e-01
8.627935652795436e-03	9.979913e-01
8.637701277795435e-03	9.979881e-01
8.647466902795435e-03	9.979851e-01
8.657232527795435e-03	9.979823e-01
8.666998152795435e-03	9.979796e-01
8.676763777795434e-03	9.979770e-01
8.686529402795434e-03	9.979745e-01
8.696295027795434e-03	9.979722e-01
8.706060652795434e-03	9.979701e-01
8.715826277795434e-03	9.979681e-01
8.725591902795433e-03	9.979663e-01
8.735357527795433e-03	9.979647e-01
8.745123152795433e-03	9.979632e-01
8.764654402795433e-03	9.979607e-01
8.784185652795432e-03	9.979590e-01
8.803716902795432e-03	9.979578e-01
8.823248152795431e-03	9.979573e-01
8.842779402795431e-03	9.979575e-01
8.862310652795431e-03	9.979582e-01
8.881841902795430e-03	9.979596e-01
8.901373152795430e-03	9.979614e-01
8.920904402795429e-03	9.979637e-01
8.940435652795429e-03	9.979664e-01
8.959966902795428e-03	9.979695e-01
8.979498152795428e-03	9.979729e-01
8.999029402795428e-03	9.979765e-01
9.028326277795427e-03	9.979824e-01
9.057623152795426e-03	9.979885e-01
9.086920027795426e-03	9.979946e-01
9.155279402795424e-03	9.980081e-01
9.174810652795424e-03	9.980116e-01
9.184576277795424e-03	9.980133e-01
9.194341902795423e-03	9.980148e-01
9.204107527795423e-03	9.980163e-01
9.213873152795423e-03	9.980177e-01
9.223638777795423e-03	9.980191e-01
9.233404402795423e-03	9.980204e-01
9.243170027795422e-03	9.980215e-01
9.252935652795422e-03	9.980226e-01
9.262701277795422e-03	9.980236e-01
9.272466902795422e-03	9.980246e-01
9.282232527795422e-03	9.980254e-01
9.301763777795421e-03	9.980268e-01
9.321295027795421e-03	9.980279e-01
9.340826277795420e-03	9.980286e-01
9.360357527795420e-03	9.980289e-01
9.379888777795420e-03	9.980289e-01
9.399420027795419e-03	9.980286e-01
9.418951277795419e-03	9.980280e-01
9.438482527795418e-03	9.980271e-01
9.458013777795418e-03	9.980259e-01
9.477545027795417e-03	9.980245e-01
9.497076277795417e-03	9.980229e-01
9.516607527795417e-03	9.980211e-01
9.536138777795416e-03	9.980192e-01
9.565435652795416e-03	9.980161e-01
9.594732527795415e-03	9.980128e-01
9.624029402795414e-03	9.980096e-01
9.633795027795414e-03	9.980085e-01
9.643560652795414e-03	9.980074e-01
9.653326277795414e-03	9.980063e-01
9.663091902795413e-03	9.980053e-01
9.672857527795413e-03	9.980043e-01
9.682623152795413e-03	9.980032e-01
9.692388777795413e-03	9.980022e-01
9.711920027795412e-03	9.980004e-01
9.721685652795412e-03	9.979995e-01
9.731451277795412e-03	9.979987e-01
9.741216902795412e-03	9.979978e-01
9.750982527795412e-03	9.979970e-01
9.760748152795411e-03	9.979963e-01
9.770513777795411e-03	9.979956e-01
9.780279402795411e-03	9.979949e-01
9.790045027795411e-03	9.979943e-01
9.799810652795411e-03	9.979938e-01
9.809576277795410e-03	9.979932e-01
9.819341902795410e-03	9.979928e-01
9.829107527795410e-03	9.979923e-01
9.848638777795410e-03	9.979916e-01
9.868170027795409e-03	9.979911e-01
9.887701277795409e-03	9.979908e-01
9.907232527795408e-03	9.979906e-01
9.926763777795408e-03	9.979907e-01
9.946295027795407e-03	9.979909e-01
9.965826277795407e-03	9.979913e-01
9.985357527795407e-03	9.979918e-01
9.995123152795406e-03	9.979921e-01
1.000000000000000e-02	9.979923e-01
