time	V(n003)
5.203535927478552e-03	9.980056e-01
5.213301552478552e-03	9.980057e-01
5.223067177478551e-03	9.980057e-01
5.232832802478551e-03	9.980057e-01
5.242598427478551e-03	9.980057e-01
5.262129677478551e-03	9.980057e-01
5.281660927478550e-03	9.980056e-01
5.301192177478550e-03	9.980056e-01
5.320723427478549e-03	9.980055e-01
5.340254677478549e-03	9.980054e-01
5.359785927478549e-03	9.980053e-01
5.389082802478548e-03	9.980052e-01
5.418379677478547e-03	9.980050e-01
5.447676552478547e-03	9.980048e-01
5.464417623907118e-03	9.980047e-01
5.481158695335689e-03	9.980046e-01
5.497899766764260e-03	9.980045e-01
5.514640838192831e-03	9.980045e-01
5.531381909621402e-03	9.980044e-01
5.548122981049973e-03	9.980043e-01
5.564864052478544e-03	9.980042e-01
5.583000213192829e-03	9.980041e-01
5.601136373907115e-03	9.980040e-01
5.619272534621400e-03	9.980040e-01
5.637408695335686e-03	9.980039e-01
5.655544856049971e-03	9.980039e-01
5.673681016764257e-03	9.980039e-01
5.691817177478541e-03	9.980038e-01
5.711348427478541e-03	9.980038e-01
5.730879677478541e-03	9.980038e-01
5.750410927478540e-03	9.980037e-01
5.769942177478540e-03	9.980037e-01
5.789473427478539e-03	9.980037e-01
5.809004677478539e-03	9.980037e-01
5.838301552478538e-03	9.980037e-01
5.867598427478538e-03	9.980037e-01
5.896895302478537e-03	9.980037e-01
5.926192177478536e-03	9.980038e-01
5.947118516764251e-03	9.980038e-01
5.968044856049964e-03	9.980038e-01
5.988971195335678e-03	9.980038e-01
6.009897534621392e-03	9.980038e-01
6.030823873907106e-03	9.980039e-01
6.051750213192819e-03	9.980039e-01
6.072676552478533e-03	9.980039e-01
6.100578338192818e-03	9.980039e-01
6.128480123907104e-03	9.980039e-01
6.156381909621388e-03	9.980040e-01
6.184283695335674e-03	9.980040e-01
6.212185481049959e-03	9.980040e-01
6.240087266764244e-03	9.980040e-01
6.267989052478529e-03	9.980040e-01
6.304261373907100e-03	9.980040e-01
6.340533695335671e-03	9.980040e-01
6.376806016764242e-03	9.980040e-01
6.413078338192811e-03	9.980040e-01
6.449350659621382e-03	9.980040e-01
6.485622981049953e-03	9.980040e-01
6.521895302478524e-03	9.980040e-01
6.560957802478523e-03	9.980040e-01
6.600020302478522e-03	9.980040e-01
6.639082802478521e-03	9.980040e-01
6.678145302478520e-03	9.980040e-01
6.717207802478520e-03	9.980040e-01
6.756270302478519e-03	9.980040e-01
6.795332802478518e-03	9.980040e-01
6.860901998907088e-03	9.980040e-01
6.926471195335658e-03	9.980040e-01
6.992040391764228e-03	9.980040e-01
7.057609588192798e-03	9.980040e-01
7.123178784621368e-03	9.980040e-01
7.188747981049938e-03	9.980040e-01
7.254317177478508e-03	9.980040e-01
7.388245748907077e-03	9.980040e-01
7.522174320335646e-03	9.980040e-01
7.656102891764214e-03	9.980040e-01
7.790031463192783e-03	9.980040e-01
7.923960034621352e-03	9.980040e-01
8.057888606049921e-03	9.980040e-01
8.191817177478489e-03	9.980040e-01
9.490645302478461e-03	9.980040e-01
9.998457802478451e-03	9.980040e-01
1.000000000000000e-02	9.980040e-01
